index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
BG,BG,Bunge Limited,90.48,-2.5420003,-2.359993,89.39,90.94,96.99,58.76,12714250240.0,87.675,82.1305,900485.0,980966.0,NYSE,90.84,92.84,15.878,5.698451,2022-02-08T13:30:00.000+0000,140520007.0,1638176236
BGRY,BGRY,"Berkshire Grey, Inc.",5.75,-4.166667,-0.25,5.61,5.85,13.45,5.39,1320688640.0,6.3632,8.892455,508837.0,722004.0,NASDAQ,5.85,6.0,-3.057,,2021-11-11T07:00:00.000+0000,229684981.0,1638176236
BHVN,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,113.85,-1.4712285,-1.7000046,111.49,115.48,151.51,62.57,7457323008.0,132.726,104.7439,446458.0,429111.0,NYSE,112.75,115.55,-13.696,,2021-11-09T07:45:52.000+0000,65501300.0,1638176236
BKJ,BKJ,,,0.0,,,,,,,,,,,,,,,,,,1638176236
BLUWU,BLUWU,Blue Water Acquisition Corp.,10.35,7.8125,0.75,9.04,10.35,32.0,7.65,,10.123925,10.567645,7616.0,4373.0,NASDAQ,9.04,9.6,,,,,1638176236
BMA,BMA,Banco Macro S.A.,13.57,-1.595361,-0.22000027,12.9,13.64,21.2,12.24,867683392.0,16.588,15.38465,365675.0,330003.0,NYSE,13.64,13.79,2.91,4.66323,,63941296.0,1638176236
BNIXU,BNIXU,Bannix Acquisition Corp. Unit,10.5,0.382409,0.04,10.4672,10.5,10.5,10.06,,10.308164,10.308164,311099.0,66493.0,NASDAQ,10.4672,10.46,,,,,1638176236
BPYPO,BPYPO,Brookfield Property Partners L.P.,25.35,-1.3618692,-0.35000038,25.3,25.35,26.55,23.086,,25.55932,25.50196,1065.0,12257.0,NASDAQ,25.35,25.7,0.052,487.5,2020-11-06T13:30:00.000+0000,,1638176236
BRG,BRG,"Bluerock Residential Growth REIT, Inc.",15.43,-7.1041555,-1.1800003,15.1281,16.25,16.62,8.8,406537312.0,13.6868,11.3982,177448.0,233933.0,AMEX,16.19,16.61,0.113,136.54868,2022-02-09T13:30:00.000+0000,26347201.0,1638176236
BROS,BROS,Dutch Bros Inc.,54.27,0.3513288,0.18999863,50.7849,54.69,81.4,32.42,2706607616.0,56.8092,56.252693,974324.0,3231111.0,NYSE,52.2,54.08,-13.627,,2021-11-10T21:00:00.000+0000,49872998.0,1638176236
